sales_id,date,dealer_id,model_id,units_sold,unit_price,gross_revenue,discount_pct,discount_amount,net_revenue,unit_cost,total_cost,profit,margin_pct
S00001,2024-01-01,D010,M05,5,26666.03,133330.15,0.0416,5546.53,127783.62,20891.47,104457.35,23326.27,0.1825
S00002,2024-01-01,D093,M05,5,29033.48,145167.4,0.0223,3237.23,141930.17,22127.86,110639.3,31290.87,0.2205
S00003,2024-01-01,D025,M01,19,18387.72,349366.68,0.0807,28193.89,321172.79,13714.72,260579.68,60593.11,0.1887
S00004,2024-01-01,D094,M01,4,20693.46,82773.84,0.0911,7540.7,75233.14,16121.24,64484.96,10748.18,0.1429
S00005,2024-01-01,D094,M03,3,33604.15,100812.45,0.0833,8397.68,92414.77,23071.14,69213.42,23201.35,0.2511
S00006,2024-01-01,D058,M02,13,23878.16,310416.08,0.0785,24367.66,286048.42,17591.34,228687.42,57361.0,0.2005
S00007,2024-01-01,D010,M04,4,43080.22,172320.88,0.022,3791.06,168529.82,31507.06,126028.24,42501.58,0.2522
S00008,2024-01-01,D070,M07,1,55250.88,55250.88,0.023,1270.77,53980.11,34667.77,34667.77,19312.34,0.3578
S00009,2024-01-01,D063,M04,2,37137.47,74274.94,0.0382,2837.3,71437.64,26147.1,52294.2,19143.44,0.268
S00010,2024-01-01,D001,M04,10,37652.03,376520.3,0.12,45182.44,331337.86,27374.69,273746.9,57590.96,0.1738
S00011,2024-01-01,D090,M06,4,50545.26,202181.04,0.0226,4569.29,197611.75,42683.52,170734.08,26877.67,0.136
S00012,2024-01-01,D038,M02,23,26831.03,617113.69,0.0297,18328.28,598785.41,20250.74,465767.02,133018.39,0.2221
S00013,2024-01-01,D041,M01,22,19656.61,432445.42,0.0354,15308.57,417136.85,14715.08,323731.76,93405.09,0.2239
S00014,2024-01-01,D066,M01,5,21405.37,107026.85,0.0765,8187.55,98839.3,15499.87,77499.35,21339.95,0.2159
S00015,2024-01-01,D031,M04,6,36198.87,217193.22,0.0432,9382.75,207810.47,26548.88,159293.28,48517.19,0.2335
S00016,2024-01-01,D006,M05,10,25573.88,255738.8,0.1221,31225.71,224513.09,20020.99,200209.9,24303.19,0.1082
S00017,2024-01-01,D034,M02,14,23348.63,326880.82,0.039,12748.35,314132.47,17251.16,241516.24,72616.23,0.2312
S00018,2024-01-01,D086,M06,1,42227.97,42227.97,0.0484,2043.83,40184.14,34850.5,34850.5,5333.64,0.1327
